cruise,station,FishSpecies,FishNum,preyNum,preyTaxon,preyTaxa,preySpp,Ocularunits,Mag,prey_mm,Scope,preyCount,gutCount,Comments_prey,Comments_gut,forkLength
201802,161,P_tri,3,NA,Appendicularia,NA,NA,NA,NA,NA,M60,7,21,NA,NA,171
201802,161,P_tri,3,NA,Hyperiidae,Hyperia,NA,NA,NA,NA,M60,1,21,NA,NA,171
201802,161,P_tri,3,NA,UnknownSoft,NA,NA,NA,NA,NA,M60,13,21,NA,NA,171
201802,158,P_tri,1,NA,Mysida,Neomysis,NA,NA,NA,NA,M60,1,15,NA,NA,162
201802,158,P_tri,1,NA,Copepoda,NA,NA,NA,NA,NA,M60,1,15,NA,NA,162
201802,158,P_tri,1,NA,CalanoidSmall,Centropages,NA,NA,NA,NA,M60,3,15,NA,NA,162
201802,158,P_tri,1,NA,Appendicularia,NA,NA,NA,NA,NA,M60,1,15,NA,NA,162
201802,158,P_tri,1,NA,UnknownSoft,NA,NA,NA,NA,NA,M60,9,15,NA,NA,162
201802,152,A_aes,2,NA,Appendicularia,NA,NA,NA,NA,NA,M60,3,8,NA,NA,224
201802,152,A_aes,2,NA,Cumacea,NA,NA,NA,NA,NA,M60,1,8,NA,NA,224
201802,152,A_aes,2,NA,Chaetognatha,NA,NA,NA,NA,NA,M60,1,8,NA,NA,224
201802,152,A_aes,2,NA,Hyperiidae,NA,NA,NA,NA,NA,M60,3,8,NA,NA,224
201802,153,C_har,2,NA,Chaetognatha,NA,NA,NA,NA,NA,M60,15,24,NA,NA,255
201802,153,C_har,2,NA,Calanus,NA,NA,NA,NA,NA,M60,1,24,Juvenile,NA,255
201802,153,C_har,2,NA,Cirripedia,NA,NA,NA,NA,NA,M60,1,24,Cyprid,NA,255
201802,153,C_har,2,NA,Appendicularia,NA,NA,NA,NA,NA,M60,1,24,NA,NA,255
201802,153,C_har,2,NA,Calanus,NA,NA,NA,NA,NA,M60,1,24,NA,NA,255
201802,153,C_har,2,NA,Copepoda,NA,NA,NA,NA,NA,M60,5,24,NA,NA,255
201802,160,A_pse,3,NA,Appendicularia,NA,NA,NA,NA,NA,M60,19,24,NA,NA,256
201802,160,A_pse,3,NA,Parasite,NA,NA,NA,NA,NA,M60,1,24,NA,NA,256
201802,160,A_pse,3,NA,Gammaridea,NA,NA,NA,NA,NA,M60,1,24,NA,NA,256
201802,160,A_pse,3,NA,Hyperiidae,NA,NA,NA,NA,NA,M60,3,24,NA,NA,256
201802,160,A_pse,2,NA,Appendicularia,NA,NA,NA,NA,NA,M60,180,288,NA,NA,248
201802,160,A_pse,2,NA,Euphausiidae,NA,NA,NA,NA,NA,M60,29,288,Calyptopis,NA,248
201802,160,A_pse,2,NA,Decapoda,NA,NA,NA,NA,NA,M60,15,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,NA,Cirripedia,NA,NA,NA,NA,NA,M60,1,288,Cyprid,NA,248
201802,160,A_pse,2,NA,Euphausiidae,NA,NA,NA,NA,NA,M60,58,288,Furcilia,NA,248
201802,160,A_pse,2,NA,FishRemains,NA,NA,NA,NA,NA,M60,1,288,NA,NA,248
201802,160,A_pse,2,NA,Hyperiidae,NA,NA,NA,NA,NA,M60,4,288,NA,NA,248
201802,160,A_pse,2,NA,Parasite,NA,NA,NA,NA,NA,M60,1,NA,Roundworm,NA,248
201802,154,S_sco,2,NA,Chaetognatha,NA,NA,NA,NA,NA,M60,394,605,NA,NA,262
201802,154,S_sco,2,NA,Calanus,NA,NA,NA,NA,NA,M60,5,605,NA,NA,262
201802,154,S_sco,2,NA,CalanoidSmall,NA,NA,NA,NA,NA,M60,17,605,NA,NA,262
201802,154,S_sco,2,NA,Appendicularia,NA,NA,NA,NA,NA,M60,147,605,NA,NA,262
201802,154,S_sco,2,NA,Metridia,NA,NA,NA,NA,NA,M60,21,605,NA,NA,262
201802,154,S_sco,2,NA,Ostracoda,NA,NA,NA,NA,NA,M60,4,605,NA,NA,262
201802,154,S_sco,2,NA,Bivalvia,NA,NA,NA,NA,NA,M60,1,605,NA,NA,262
201802,154,S_sco,2,NA,Hyperiidae,Themisto,NA,NA,NA,NA,M60,2,605,NA,NA,262
201802,154,S_sco,2,NA,CalanoidSmall,Centropages,NA,NA,NA,NA,M60,4,605,NA,NA,262
201802,154,S_sco,2,NA,Gammaridea,NA,NA,NA,NA,NA,M60,1,605,NA,NA,262
201802,154,S_sco,2,NA,CalanoidSmall,Temora,NA,NA,NA,NA,M60,1,605,NA,NA,262
201802,154,S_sco,2,NA,Calanus,NA,NA,NA,NA,NA,M60,1,605,Juvenile,NA,262
201802,154,S_sco,2,NA,CopepodUnknown,NA,NA,NA,NA,NA,M60,5,605,NA,NA,262
201802,154,S_sco,2,NA,Mysida,Neomysis,NA,NA,NA,NA,M60,2,605,NA,NA,262
201802,154,S_sco,2,NA,Parasite,NA,NA,NA,NA,NA,M60,1,605,Roundworm,NA,262
201802,161,P_tri,2,NA,Appendicularia,NA,NA,NA,NA,NA,M60,1,9,NA,NA,166
201802,161,P_tri,2,NA,UnknownSoft,NA,NA,NA,NA,NA,M60,8,9,NA,NA,166
201802,170,P_tri,1,NA,Calanus,NA,NA,NA,NA,NA,M60,1,1,NA,NA,79
201802,208,S_sco,2,NA,Gammaridea,Gammarus,NA,NA,NA,NA,M60,12,143,NA,NA,266
201802,208,S_sco,2,NA,Gammaridea,NA,NA,NA,NA,NA,M60,90,143,Juvenile,NA,266
201802,208,S_sco,2,NA,Caligidae,NA,NA,NA,NA,NA,M60,8,143,NA,NA,266
201802,208,S_sco,2,NA,FishRemains,NA,NA,NA,NA,NA,M60,31,143,NA,NA,266
201802,208,S_sco,2,NA,Caprellidae,NA,NA,NA,NA,NA,M60,1,143,NA,NA,266
201802,208,S_sco,2,NA,Parasite,NA,NA,NA,NA,NA,M60,3,NA,Worm,NA,266
201802,149,A_pse,1,NA,Hyperiidae,Themisto,NA,NA,NA,NA,M60,150,406,NA,NA,238
201802,149,A_pse,1,NA,Hyperiidae,Themisto,NA,NA,NA,NA,M60,182,406,juvenile,NA,238
201802,149,A_pse,1,NA,Caligidae,NA,NA,NA,NA,NA,M60,14,406,NA,NA,238
201802,149,A_pse,1,NA,Cirripedia,NA,NA,NA,NA,NA,M60,8,406,Cyprid,NA,238
201802,149,A_pse,1,NA,FishRemains,NA,NA,NA,NA,NA,M60,28,406,NA,NA,238
201802,149,A_pse,1,NA,CalanoidSmall,NA,NA,NA,NA,NA,M60,3,406,NA,NA,238
