cruise,station,FishSpecies,FishNum,preyNum,preyTaxon,preyTaxa,preySpp,Ocularunits,Mag,prey_mm,Scope,preyCount,gutCount,Comments_prey,Comments_gut,forkLength
201802,161,P_tri,3,1,Appendicularia,NA,NA,2.2,1.25,1.41025641,M60,NA,21,NA,NA,171
201802,161,P_tri,3,2,Appendicularia,NA,NA,1.9,1.25,1.217948718,M60,NA,21,NA,NA,171
201802,161,P_tri,3,3,Appendicularia,NA,NA,1.6,1.25,1.025641026,M60,NA,21,NA,NA,171
201802,161,P_tri,3,4,Appendicularia,NA,NA,2.3,1.25,1.474358974,M60,NA,21,NA,NA,171
201802,161,P_tri,3,5,Appendicularia,NA,NA,4,1.25,2.564102564,M60,NA,21,NA,NA,171
201802,161,P_tri,3,6,Appendicularia,NA,NA,2.6,1.25,1.666666667,M60,NA,21,NA,NA,171
201802,161,P_tri,3,7,Appendicularia,NA,NA,1.9,1.25,1.217948718,M60,NA,21,NA,NA,171
201802,161,P_tri,3,1,Hyperiidae,Hyperia,NA,13.4,1.25,8.589743589,M60,NA,21,NA,NA,171
201802,158,P_tri,1,1,Mysida,Neomysis,NA,5,1,4.032258065,M60,NA,15,NA,NA,162
201802,158,P_tri,1,1,Copepoda,NA,NA,2.9,1.6,1.435643565,M60,NA,15,NA,NA,162
201802,158,P_tri,1,1,CalanoidSmall,Centropages,NA,3.4,3.2,0.829268293,M60,NA,15,NA,NA,162
201802,158,P_tri,1,2,CalanoidSmall,Centropages,NA,6.2,3.2,1.512195122,M60,NA,15,NA,NA,162
201802,158,P_tri,1,3,CalanoidSmall,Centropages,NA,4.5,2.5,1.421052633,M60,NA,15,NA,NA,162
201802,158,P_tri,1,1,Appendicularia,NA,NA,2.2,1,1.774193549,M60,NA,15,NA,NA,162
201802,152,A_aes,2,1,Appendicularia,NA,NA,1.8,1.6,0.891089109,M60,NA,8,NA,NA,224
201802,152,A_aes,2,2,Appendicularia,NA,NA,2.1,1.6,1.039603961,M60,NA,8,NA,NA,224
201802,152,A_aes,2,3,Appendicularia,NA,NA,1.6,1.6,0.792079208,M60,NA,8,NA,NA,224
201802,152,A_aes,2,1,Cumacea,NA,NA,7.5,1.6,3.712871288,M60,NA,8,NA,NA,224
201802,153,C_har,2,1,Chaetognatha,NA,NA,2.4,1.25,1.538461538,M60,NA,24,NA,NA,255
201802,153,C_har,2,2,Chaetognatha,NA,NA,15,0.63,19.73684211,M60,NA,24,NA,NA,255
201802,153,C_har,2,1,Calanus,NA,NA,7.8,2.5,2.463157897,M60,NA,24,Juvenile,NA,255
201802,153,C_har,2,1,Cirripedia,NA,NA,2.2,1.6,1.089108911,M60,NA,24,Cyprid,NA,255
201802,153,C_har,2,1,Appendicularia,NA,NA,2.2,1.6,1.089108911,M60,NA,24,NA,NA,255
201802,153,C_har,2,1,Calanus,NA,NA,4.8,1.6,2.376237624,M60,NA,24,NA,NA,255
201802,160,A_pse,3,1,Appendicularia,NA,NA,2,1.25,1.282051282,M60,NA,24,NA,NA,256
201802,160,A_pse,3,2,Appendicularia,NA,NA,2.1,1.25,1.346153846,M60,NA,24,NA,NA,256
201802,160,A_pse,3,3,Appendicularia,NA,NA,1.8,1.25,1.153846154,M60,NA,24,NA,NA,256
201802,160,A_pse,3,4,Appendicularia,NA,NA,2.6,1.25,1.666666667,M60,NA,24,NA,NA,256
201802,160,A_pse,3,5,Appendicularia,NA,NA,4.7,2.5,1.484210528,M60,NA,24,NA,NA,256
201802,160,A_pse,3,6,Appendicularia,NA,NA,1.8,1.25,1.153846154,M60,NA,24,NA,NA,256
201802,160,A_pse,3,7,Appendicularia,NA,NA,2.7,1.25,1.730769231,M60,NA,24,NA,NA,256
201802,160,A_pse,3,8,Appendicularia,NA,NA,2,1.25,1.282051282,M60,NA,24,NA,NA,256
201802,160,A_pse,3,9,Appendicularia,NA,NA,2,1.25,1.282051282,M60,NA,24,NA,NA,256
201802,160,A_pse,3,10,Appendicularia,NA,NA,1.8,1.25,1.153846154,M60,NA,24,NA,NA,256
201802,160,A_pse,3,1,Parasite,NA,NA,18.5,1.25,11.85897436,M60,NA,24,NA,NA,256
201802,160,A_pse,2,1,Appendicularia,NA,NA,2.8,1.25,1.794871795,M60,NA,288,NA,NA,248
201802,160,A_pse,2,2,Appendicularia,NA,NA,1.7,1.25,1.08974359,M60,NA,288,NA,NA,248
201802,160,A_pse,2,3,Appendicularia,NA,NA,2.9,1.25,1.858974359,M60,NA,288,NA,NA,248
201802,160,A_pse,2,4,Appendicularia,NA,NA,1.7,1.25,1.08974359,M60,NA,288,NA,NA,248
201802,160,A_pse,2,5,Appendicularia,NA,NA,1.5,1.25,0.961538462,M60,NA,288,NA,NA,248
201802,160,A_pse,2,6,Appendicularia,NA,NA,2.2,1.25,1.41025641,M60,NA,288,NA,NA,248
201802,160,A_pse,2,7,Appendicularia,NA,NA,1.6,1.25,1.025641026,M60,NA,288,NA,NA,248
201802,160,A_pse,2,8,Appendicularia,NA,NA,1.6,1.25,1.025641026,M60,NA,288,NA,NA,248
201802,160,A_pse,2,9,Appendicularia,NA,NA,2.1,1.25,1.346153846,M60,NA,288,NA,NA,248
201802,160,A_pse,2,10,Appendicularia,NA,NA,2.2,1.25,1.41025641,M60,NA,288,NA,NA,248
201802,160,A_pse,2,1,Decapoda,NA,NA,4.4,1.25,2.82051282,M60,NA,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,2,Decapoda,NA,NA,4.2,1.25,2.692307692,M60,NA,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,3,Decapoda,NA,NA,6,1.25,3.846153846,M60,NA,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,4,Decapoda,NA,NA,3.4,1.25,2.179487179,M60,NA,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,5,Decapoda,NA,NA,3.5,1.25,2.243589744,M60,NA,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,6,Decapoda,NA,NA,2.5,1.25,1.602564103,M60,NA,288,Shrimp Zooae,NA,248
201802,160,A_pse,2,1,Euphausiidae,NA,NA,1.4,1.25,0.897435897,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,2,Euphausiidae,NA,NA,4.3,1.25,2.756410256,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,3,Euphausiidae,NA,NA,2.1,1.25,1.346153846,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,4,Euphausiidae,NA,NA,2,1.25,1.282051282,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,5,Euphausiidae,NA,NA,3,1.25,1.923076923,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,6,Euphausiidae,NA,NA,1.9,1.25,1.217948718,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,7,Euphausiidae,NA,NA,2.8,1.25,1.794871795,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,8,Euphausiidae,NA,NA,2.1,1.25,1.346153846,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,9,Euphausiidae,NA,NA,1.6,1.25,1.025641026,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,10,Euphausiidae,NA,NA,2.5,1.25,1.602564103,M60,NA,288,Calyptopis,NA,248
201802,160,A_pse,2,1,Euphausiidae,NA,NA,6.9,2,2.705882355,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,2,Euphausiidae,NA,NA,6.4,1.25,4.102564102,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,3,Euphausiidae,NA,NA,5.2,1.25,3.333333333,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,4,Euphausiidae,NA,NA,5.8,1.25,3.717948718,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,5,Euphausiidae,NA,NA,6.3,1.25,4.038461538,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,6,Euphausiidae,NA,NA,4.3,1.25,2.756410256,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,7,Euphausiidae,NA,NA,6.5,1.25,4.166666667,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,8,Euphausiidae,NA,NA,4.6,1.25,2.948717949,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,9,Euphausiidae,NA,NA,3.2,1.25,2.051282051,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,10,Euphausiidae,NA,NA,3.4,1.25,2.179487179,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,1,Parasite,NA,NA,NA,NA,150,M60,NA,288,roundworm,NA,248
201802,154,S_sco,2,1,Chaetognatha,NA,NA,12.8,0.63,16.84210527,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Chaetognatha,NA,NA,15.9,0.63,20.92105264,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,Chaetognatha,NA,NA,15,0.63,19.73684211,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,Chaetognatha,NA,NA,11.8,0.63,15.52631579,M60,NA,605,NA,NA,262
201802,154,S_sco,2,5,Chaetognatha,NA,NA,12.8,0.63,16.84210527,M60,NA,605,NA,NA,262
201802,154,S_sco,2,6,Chaetognatha,NA,NA,12.3,0.63,16.18421053,M60,NA,605,NA,NA,262
201802,154,S_sco,2,7,Chaetognatha,NA,NA,12.6,0.63,16.57894737,M60,NA,605,NA,NA,262
201802,154,S_sco,2,8,Chaetognatha,NA,NA,20.8,0.63,27.36842106,M60,NA,605,NA,NA,262
