"","cruise","station","FishSpecies","FishNum","preyNum","preyTaxon","preyTaxa","preySpp","Ocularunits","Mag","prey_mm","Scope","preyCount","gutCount","Comments_prey","Comments_gut","forkLength","BEGIN_GMT_TOWDATE","average_depth","decimalLatitude","decimalLongitude","Llopiz_taxa","scientificNameID_preyTaxon","scientificName_preyTaxon","scientificName_Rank"
"1",201802,161,"P_tri","3",1,"Appendicularia",NA,NA,2.2,1.25,1.41025641,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"2",201802,161,"P_tri","3",2,"Appendicularia",NA,NA,1.9,1.25,1.217948718,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"3",201802,161,"P_tri","3",3,"Appendicularia",NA,NA,1.6,1.25,1.025641026,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"4",201802,161,"P_tri","3",4,"Appendicularia",NA,NA,2.3,1.25,1.474358974,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"5",201802,161,"P_tri","3",5,"Appendicularia",NA,NA,4,1.25,2.564102564,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"6",201802,161,"P_tri","3",6,"Appendicularia",NA,NA,2.6,1.25,1.666666667,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"7",201802,161,"P_tri","3",7,"Appendicularia",NA,NA,1.9,1.25,1.217948718,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"8",201802,161,"P_tri","3",1,"Hyperiidae","Hyperia",NA,13.4,1.25,8.589743589,"M60",NA,21,NA,NA,171,2018-04-19 15:05:00,137,40.055582,-70.72235,"Hyperia",95109,"Hyperia","Genus"
"9",201802,158,"P_tri","1",1,"Mysida","Neomysis",NA,5,1,4.032258065,"M60",NA,15,NA,NA,162,2018-04-19 07:20:00,217,40.06006,-71.016753,"Neomysis",90054,"Neomysis","Genus"
"10",201802,158,"P_tri","1",1,"Copepoda",NA,NA,2.9,1.6,1.435643565,"M60",NA,15,NA,NA,162,2018-04-19 07:20:00,217,40.06006,-71.016753,"Copepoda",85257,"Copepoda","Subclass"
