Llopiz_taxa,scientificNameID_preyTaxon,scientificName_preyTaxon,scientificName_Rank,Credibility,NameUsage
Animalia,202423,Animalia,Kingdom,Reviewed,valid
Acartia,86084,Acartia,Genus,Reviewed,valid
Americamysis,682489,Americamysis,Genus,Reviewed,valid
Ammodytes,171671,Ammodytes,Genus,Reviewed,valid
Amphipoda,93294,Amphipoda,Order          ,Reviewed,valid
Ampithoidae,93408,Ampithoidae,Family,Reviewed,valid
Egg,202423,Animalia,Kingdom,Reviewed,valid
Parasite,202423,Animalia,Kingdom,Reviewed,valid
ParasiteFlatWorm,202423,Animalia,Kingdom,Reviewed,valid
ParasiticWorm,202423,Animalia,Kingdom,Reviewed,valid
Roundworm,202423,Animalia,Kingdom,Reviewed,valid
UnknownOther,202423,Animalia,Kingdom,Reviewed,valid
UnknownSoft,202423,Animalia,Kingdom,Reviewed,valid
Aoridae,93440,Aoridae,Family,Reviewed,valid
Appendicularia,159664,Appendicularia,Class          ,Reviewed,valid
Bivalvia,79118,Bivalvia,Class          ,Reviewed,valid
Calanoida,85258,Calanoida,Order          ,Reviewed,valid
CalanoidSmall,85258,Calanoida,NA,NA,NA
CalanoidDigested,85258,Calanoida,NA,NA,NA
Calanus,85263,Calanus,Genus          ,Reviewed,valid
Caligidae,89008,Caligidae,Family         ,Reviewed,valid
Candacia,86020,Candacia,Genus          ,Reviewed,valid
Caprellidae,95375,Caprellidae,Family         ,Reviewed,valid
Caridea,96106,Caridea,Infraorder     ,Reviewed,valid
Centropages,85761,Centropages,Genus          ,Reviewed,valid
Cephalopoda,82326,Cephalopoda,Class          ,Reviewed,valid
Chaetognatha,158650,Chaetognatha,Phylum         ,Reviewed,valid
Cirripedia,89433,Cirripedia,Infraclass,Reviewed,valid
Cladocera,83832,Cladocera,Suborder       ,Reviewed,valid
Clione,78088,Clione,Genus,Reviewed,valid
Coleoidea,82330,Coleoidea,Subclass       ,Reviewed,valid
Copepoda,85257,Copepoda,Subclass       ,Reviewed,valid
CopepodDigested,85257,Copepoda,NA,NA,NA
CopepodUnknown,85257,Copepoda,NA,NA,NA
Corophiidae,93584,Corophiidae,Family,Reviewed,valid
Corycaeus,88571,Corycaeus,Genus,Reviewed,valid
Cumacea,90745,Cumacea,Order          ,Reviewed,valid
Cyclopoida,88530,Cyclopoida,Order          ,Reviewed,valid
Decapoda,95599,Decopoda,Order          ,Reviewed,valid
Eucalanus,85300,Eucalanus,Genus          ,Reviewed,valid
Euphausia,95501,Euphausia,Genus,Reviewed,valid
Euphausiacea,95496,Euphausiacea,Order,Reviewed,valid
Euphausiidae,95500,Euphausiidae,Family         ,Reviewed,valid
Eurytemora,85862,Eurytemora,Genus,Reviewed,valid
Foraminiferida,44030,Foraminiferida,Order          ,Reviewed,valid
Gammaridea,93295,Gammaridea,Suborder       ,Reviewed,valid
Gammarus,93773,Gammarus,Genus,Reviewed,valid
Gastropoda,69459,Gastropoda,Class          ,Reviewed,valid
Gnathostomata,914179,Gnathostomata,Superclass     ,Reviewed,valid
Osteichthyes,914179,Gnathostomata,NA,NA,NA
FishEgg,914179,Gnathostomata,NA,NA,NA
FishRemains,914179,Gnathostomata,NA,NA,NA
FishLarvae,914179,Gnathostomata,NA,NA,NA
Harpacticoida,86110,Harpacticoida,Order          ,Reviewed,valid
Haustoriidae,93959,Haustoriidae,Family,Reviewed,valid
Hydrachnidae,83122,Hydrachnidae,Family         ,Reviewed,valid
Hyperia,95109,Hyperia,Genus,Reviewed,valid
Hyperiella,95120,Hyperiella,Genus,Reviewed,valid
Hyperiidae,95108,Hyperiidae,Family         ,Reviewed,valid
Isopoda,92120,Isopoda,Order          ,Reviewed,valid
Liljeborgiidae,94205,Liljeborgiidae,Family,Reviewed,valid
Limacina,76336,Limacina,Genus,Reviewed,valid
Lycaenidae,117236,Lycaenidae,Family,Reviewed,valid
Shrimp Zooae,89787,Malacostraca,Class,Reviewed,valid
Crab Zooea,89787,Malacostraca,Class,Reviewed,valid
Meganyctiphanes,95533,Meganyctiphanes,Genus,Reviewed,valid
Melittidae,154364,Melittidae,Family,Reviewed,valid
Metridia,85734,Metridia,Genus          ,Reviewed,valid
Microsetella,86208,Microsetella,Genus,Reviewed,valid
Monstrilloida,88989,Monstrilloida,Order          ,Reviewed,valid
Mysida,89855,Mysida,Order          ,Reviewed,valid
Nematoscelis,95539,Nematoscelis,Genus,Reviewed,valid
Neomysis,90054,Neomysis,Genus,Reviewed,valid
Oikopleura,159664,Oikopleura,Class,Reviewed,valid
Oithona,88802,Oithona,Genus          ,Reviewed,valid
Ostracoda,84195,Ostracoda,Class          ,Reviewed,valid
Paraeuchaeta,610024,Paraeuchaeta,Genus          ,Reviewed,valid
Paraphronima,95371,Paraphronima,Genus,Reviewed,valid
Parathemisto,95148,Parathemisto,Genus,Reviewed,valid
Penaeidae,95602,Penaeidae,Family         ,Reviewed,valid
Penilia,83835,Penilia,Genus          ,Reviewed,valid
