"","Cruise","Station","FishSpecies","FishNum","PreyNumber","GutItem","PreyTaxa","PreySpp","Ocularunits","Mag","Prey_mm","Scope","Total_prey","Total_gut","Comments_prey","Comments_gut","FL_mm","STRATUM","TOW","BEGIN_GMT_TOWDATE","TOWDUR","AVGDEPTH","BEGLAT","BEGLON","DECDEG_BEGLAT","DECDEG_BEGLON","Llopiz_taxa","TSN","Scientific Name","Rank Name"
"1",201802,161,"P_tri","3",1,"Appendicularia",NA,NA,2.2,1.25,1.41025641,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"2",201802,161,"P_tri","3",2,"Appendicularia",NA,NA,1.9,1.25,1.217948718,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"3",201802,161,"P_tri","3",3,"Appendicularia",NA,NA,1.6,1.25,1.025641026,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"4",201802,161,"P_tri","3",4,"Appendicularia",NA,NA,2.3,1.25,1.474358974,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"5",201802,161,"P_tri","3",5,"Appendicularia",NA,NA,4,1.25,2.564102564,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"6",201802,161,"P_tri","3",6,"Appendicularia",NA,NA,2.6,1.25,1.666666667,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"7",201802,161,"P_tri","3",7,"Appendicularia",NA,NA,1.9,1.25,1.217948718,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"8",201802,161,"P_tri","3",1,"Hyperiidae","Hyperia",NA,13.4,1.25,8.589743589,"M60",NA,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Hyperia",95109,"Hyperia","Genus"
"9",201802,158,"P_tri","1",1,"Mysida","Neomysis",NA,5,1,4.032258065,"M60",NA,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Neomysis",90054,"Neomysis","Genus"
"10",201802,158,"P_tri","1",1,"Copepoda",NA,NA,2.9,1.6,1.435643565,"M60",NA,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Copepoda",85257,"Copepoda","Subclass"
"11",201802,158,"P_tri","1",1,"CalanoidSmall","Centropages",NA,3.4,3.2,0.829268293,"M60",NA,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Centropages",85761,"Centropages","Genus"
"12",201802,158,"P_tri","1",2,"CalanoidSmall","Centropages",NA,6.2,3.2,1.512195122,"M60",NA,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Centropages",85761,"Centropages","Genus"
"13",201802,158,"P_tri","1",3,"CalanoidSmall","Centropages",NA,4.5,2.5,1.421052633,"M60",NA,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Centropages",85761,"Centropages","Genus"
"14",201802,158,"P_tri","1",1,"Appendicularia",NA,NA,2.2,1,1.774193549,"M60",NA,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Appendicularia",159664,"Appendicularia","Class"
"15",201802,152,"A_aes","2",1,"Appendicularia",NA,NA,1.8,1.6,0.891089109,"M60",NA,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Appendicularia",159664,"Appendicularia","Class"
"16",201802,152,"A_aes","2",2,"Appendicularia",NA,NA,2.1,1.6,1.039603961,"M60",NA,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Appendicularia",159664,"Appendicularia","Class"
"17",201802,152,"A_aes","2",3,"Appendicularia",NA,NA,1.6,1.6,0.792079208,"M60",NA,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Appendicularia",159664,"Appendicularia","Class"
"18",201802,152,"A_aes","2",1,"Cumacea",NA,NA,7.5,1.6,3.712871288,"M60",NA,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Cumacea",90745,"Cumacea","Order"
"19",201802,153,"C_har","2",1,"Chaetognatha",NA,NA,2.4,1.25,1.538461538,"M60",NA,24,NA,NA,255,1060,2,2018-04-18 13:17:00,20.01,76,4022.6259,7145.1117,40.377098,-71.751862,"Chaetognatha",158650,"Chaetognatha","Phylum"
"20",201802,153,"C_har","2",2,"Chaetognatha",NA,NA,15,0.63,19.73684211,"M60",NA,24,NA,NA,255,1060,2,2018-04-18 13:17:00,20.01,76,4022.6259,7145.1117,40.377098,-71.751862,"Chaetognatha",158650,"Chaetognatha","Phylum"
